"","T","payoffAve","payoffStdDev","sigma","K","S0","r","C","Cup","Clow","D","Dup","Dlow","G","Gup","Glow"
"125",100,0.163434168346966,0.472030124418283,0.013,14,12.4,2e-04,0.160197954986689,0.180475572141796,0.139920337831582,0.212344136158309,0.227752664771545,0.196935607545074,0.203265914888337,0.207964055638797,0.198567774137876
"126",100,0.186159948985394,0.508434517378662,0.013,14,12.5,2e-04,0.182473735018336,0.204315223428746,0.160632246607927,0.234401339789842,0.250242984230183,0.2185596953495,0.225460451914759,0.229664497970561,0.221256405858955
"127",100,0.211261480538499,0.5457836955501,0.013,14,12.6,2e-04,0.207078222944657,0.230524168987833,0.183632276901482,0.257436226541261,0.273685564365657,0.241186888716865,0.231124867571524,0.235096682960685,0.227153052182360
"128",100,0.238687305643159,0.584086177002117,0.013,14,12.7,2e-04,0.233960980326588,0.259052336301877,0.208869624351300,0.280626313304146,0.29726232082232,0.263990305785972,0.226874936435388,0.230655244727252,0.223094628143526
"129",100,0.268520548714430,0.623235564165239,0.013,14,12.8,2e-04,0.263203485605487,0.289976633152297,0.236430338058676,0.302811213828339,0.319816613311107,0.28580581434557,0.221737193173681,0.225225704319705,0.218248682027661
"130",100,0.300472986867719,0.663257815091874,0.013,14,12.9,2e-04,0.294523223092256,0.323015658964099,0.266030787220414,0.324973751938883,0.342307461686261,0.307640042191504,0.222070158722769,0.225142525701012,0.218997791744525
"131",100,0.334828280154745,0.703935708625997,0.013,14,13,2e-04,0.328198235993263,0.358438125489549,0.297958346496977,0.347225245572892,0.36484511845131,0.329605372694475,0.228849614582596,0.231342565162879,0.226356664002312
"132",100,0.371320919032636,0.745290242505951,0.013,14,13.1,2e-04,0.363968272206835,0.395984682654361,0.331951861759309,0.370743674855402,0.388575974718837,0.352911374991967,0.241356285564710,0.243161427342550,0.239551143786872
"133",100,0.410474918933529,0.786957127354,0.013,14,13.2,2e-04,0.402346970964344,0.436153320433316,0.368540621495371,0.395496502685835,0.41347740391982,0.377515601451849,0.248483707180686,0.249747244255971,0.2472201701054
"134",100,0.452018131435833,0.829003501136966,0.013,14,13.3,2e-04,0.443067572744002,0.478680163438325,0.407454982049679,0.420440416291539,0.438525423570031,0.402355409013047,0.248407044738579,0.249259227322449,0.247554862154707
"135",100,0.496261694153937,0.871155070045922,0.013,14,13.4,2e-04,0.486435054222651,0.523858405147323,0.44901170329798,0.44517791163355,0.46332924938431,0.427026573882791,0.228279102098382,0.229186686792655,0.227371517404108
"136",100,0.542852351835605,0.9135102570473,0.013,14,13.5,2e-04,0.532103155070712,0.571346013315187,0.492860296826237,0.466096236711215,0.484362760928562,0.447829712493868,0.205994622675090,0.206945883401004,0.205043361949175
"137",100,0.591364095208779,0.95619809687743,0.013,14,13.6,2e-04,0.579654301564894,0.620730957333035,0.538577645796754,0.486376836168568,0.50471842606451,0.468035246272626,0.219558437614725,0.219610435264436,0.219506439965014
"138",100,0.642092811839034,0.998902765391707,0.013,14,13.7,2e-04,0.629378522304425,0.672289698528089,0.586467346080762,0.51000792423416,0.52828484798145,0.491731000486871,0.248446064818963,0.247255449845832,0.249636679792099
"139",100,0.69542624875437,1.04128954055570,0.013,14,13.8,2e-04,0.681655886411726,0.726387926929325,0.636923845894128,0.536066049132361,0.554169516033677,0.517962582231046,0.257988379944216,0.256103863317245,0.259872896571187
"140",100,0.751471872172571,1.08318665011510,0.013,14,13.9,2e-04,0.736591732130897,0.783123601734824,0.690059862526971,0.561605600223004,0.579505620644898,0.543705579801109,0.244252470580897,0.242319928303011,0.246185012858777
"141",100,0.810016405937177,1.12462624429368,0.013,14,14,2e-04,0.793977006456327,0.842289051058305,0.74566496185435,0.58491654324854,0.602633501694279,0.567199584802801,0.225003079197819,0.223184763832818,0.226821394562821
"142",100,0.870818400417767,1.1656710765197,0.013,14,14.1,2e-04,0.853575040780606,0.90365030207368,0.803499779487531,0.606606216062567,0.624142573411462,0.589069858713673,0.2212769597737,0.219072946617022,0.223480972930384
"143",100,0.933788500836295,1.20626985042279,0.013,14,14.2,2e-04,0.91529824966884,0.967117565740597,0.863478933597084,0.62917193520328,0.646448091017683,0.611895779388878,0.222138513812381,0.219425142490054,0.224851885134705
"144",100,0.99919481069809,1.24610326848944,0.013,14,14.3,2e-04,0.979409427821262,1.03293992027722,0.925878935365307,0.651033918825044,0.668027601909473,0.634040235740614,0.211186145237491,0.208372985620706,0.213999304854265
"145",100,1.06662563611393,1.28538694075258,0.013,14,14.4,2e-04,1.04550503343385,1.10072308612249,0.990286980745207,0.671409164250779,0.688122688141825,0.654695640359731,0.206181039228576,0.203050857726592,0.209311220730571
"146",100,1.13618931651307,1.32391602825714,0.013,14,14.5,2e-04,1.11369126067142,1.17056445790558,1.05681806343725,0.692270126670759,0.708637773454791,0.675902479886728,0.197437532379899,0.194179611255579,0.200695453504238
"147",100,1.20787661829193,1.36158940861459,0.013,14,14.6,2e-04,1.183959058768,1.24245064081345,1.12546747672255,0.710896670726758,0.72695861039294,0.694834731060578,0.163211817387787,0.160828706339694,0.165594928435867
"148",100,1.28124086373227,1.39869522268647,0.013,14,14.7,2e-04,1.25587059481677,1.31595617998417,1.19578500964937,0.724912490148316,0.74080351472273,0.709021465573901,0.145503416886122,0.143350138486487,0.147656695285742
