"","T","payoffAve","payoffStdDev","sigma","K","S0","r","C","Cup","Clow"
"78",100,8.36432463932523,94.9206862146717,0.242527203514254,14,12,2e-04,8.19869991457359,12.2763323274057,4.1210675017415
"79",100,8.43884070972737,98.4819267110836,0.245676907455998,14,12,2e-04,8.2717404679218,12.5023577595738,4.04112317626975
"80",100,8.51129926596515,102.118923302035,0.248826611397741,14,12,2e-04,8.3427642486158,12.7296207730003,3.95590772423125
"81",100,8.58201229407284,105.829087371074,0.251976315339485,14,12,2e-04,8.41207706495246,12.95831597339,3.86583815651491
"82",100,8.65029291247079,109.609602483103,0.255126019281228,14,12,2e-04,8.4790056365187,13.1876490910332,3.77036218200419
"83",100,8.71618948768993,113.457278295711,0.258275723222972,14,12,2e-04,8.54359737212396,13.4175304830162,3.66966426123171
"84",100,8.77967212362389,117.368615412671,0.261425427164716,14,12,2e-04,8.60582296764444,13.6477805170617,3.56386541822717
"85",100,8.84174579956742,121.339719619634,0.264575131106459,14,12,2e-04,8.66666750245157,13.8792169836678,3.45411802123532
"86",100,8.90104211938715,125.366558290986,0.267724835048203,14,12,2e-04,8.72478967647084,14.1103253479725,3.3392540049692
"87",100,8.95746523774495,129.444689514121,0.270874538989946,14,12,2e-04,8.78009554222898,14.3408208454367,3.21937023902125
"88",100,9.01081626889245,133.569366926464,0.27402424293169,14,12,2e-04,8.83239015217931,14.5703046327915,3.09447567156710
"89",100,9.06163691650129,137.735487667928,0.277173946873433,14,12,2e-04,8.88220448354208,14.7990884770036,2.96532049008051
"90",100,9.11011919764668,141.937672563446,0.280323650815177,14,12,2e-04,8.92972675119967,15.0271295126769,2.83232398972243
"91",100,9.15552206117794,146.170311245418,0.283473354756920,14,12,2e-04,8.97423057779735,15.2534603505373,2.69500080505742
"92",100,9.19886367927649,150.427398249137,0.286623058698664,14,12,2e-04,9.0167139743565,15.4788210169821,2.55460693173092
"93",100,9.24004093201822,154.702724798189,0.289772762640408,14,12,2e-04,9.05707586286437,15.7028437154469,2.41130801028185
"94",100,9.27815063017099,158.989871165514,0.292922466582151,14,12,2e-04,9.09443093843383,15.9243673604094,2.26449451645831
"95",100,9.31325682222698,163.282111638407,0.296072170523895,14,12,2e-04,9.12884198131197,16.1431658068547,2.11451815576924
"96",100,9.3458295058433,167.572465506694,0.299221874465638,14,12,2e-04,9.16076968257872,16.3593998663402,1.96213949881729
"97",100,9.3747308560746,171.853828382972,0.302371578407382,14,12,2e-04,9.18909874773223,16.5716490518763,1.80654844358815
"98",100,9.40015572964413,176.118823625146,0.305521282349125,14,12,2e-04,9.21402017507407,16.7797874736753,1.64825287647284
"99",100,9.42181588870402,180.359923393354,0.308670986290869,14,12,2e-04,9.23525143424819,16.9832092180908,1.48729365040554
"100",100,9.4395773218106,184.569433816375,0.311820690232612,14,12,2e-04,9.25266116741528,17.1814524115665,1.32386992326403
"101",100,9.45359868898594,188.739511485162,0.314970394174356,14,12,2e-04,9.2664048929185,17.3743356328359,1.15847415300111
"102",100,9.46429713722138,192.862187012794,0.318120098116100,14,12,2e-04,9.27689149768532,17.5619254174200,0.991857577950608
"103",100,9.47212855613365,196.929402384784,0.321269802057843,14,12,2e-04,9.28456784411324,17.7443224690195,0.824813219206938
