"","x"
"273",11.3985363269635
"274",10.7716908905496
"275",11.8465238022497
"276",13.9369081829339
"277",12.40812628341
"278",11.6805616567393
"279",13.1577835089748
"280",12.7862273421367
"281",13.2560160621363
"282",13.3576454479704
"283",11.4106283598699
"284",14.1610882706819
"285",13.4673716289908
"286",11.4841654571214
"287",11.1615087607770
"288",12.0143691847866
"289",10.4535097942857
"290",13.230506323306
"291",12.7018599950254
"292",12.6660313133882
"293",11.8774639746166
"294",11.9406038332007
"295",11.6676729387805
"296",12.3408002295677
"297",14.6374094445362
"298",11.2986746907911
"299",12.4226697789634
"300",13.5939315882090
"301",11.0138663534807
"302",12.0758035996037
"303",11.5976599845101
"304",12.5576098461072
"305",9.36993782118422
"306",12.1841830746192
"307",13.1893890200524
"308",11.5269414776977
"309",12.1080239623185
"310",11.0729275380281
"311",11.7139576470183
"312",12.3953576149119
"313",12.2509984441646
"314",10.1887958494435
"315",11.9008105365963
"316",12.9027392336339
"317",15.4352552477653
"318",11.9011152202412
"319",10.64960225376
"320",11.6048657845843
"321",10.7166242708010
"322",11.9326003297647
"323",11.3073116967357
"324",14.3035717636634
"325",11.7615512804623
"326",12.0217253474076
"327",12.4530928282498
"328",12.2848387620202
"329",8.96052716922503
"330",10.7308773066107
"331",11.1307794519420
"332",11.9896624411108
"333",13.6838736119048
"334",13.1599679139288
"335",9.87894789343272
"336",13.6565697662312
"337",12.7647042619249
"338",12.9873506873817
"339",11.9261946412779
"340",11.4623638742991
"341",10.9709873113792
"342",12.7303871657522
"343",11.4626756352696
"344",10.0115449626681
"345",10.2420119773095
"346",12.974824605509
"347",10.0649963459401
"348",14.0900303614221
"349",13.6878972648096
"350",12.2440750358669
"351",11.1753534120414
"352",13.2361379153018
"353",15.5891983819065
"354",12.0010554444317
"355",12.8139351308103
"356",9.79957581075056
"357",13.2020956689438
"358",13.2298306896123
"359",12.2765716874048
"360",10.4536833264074
"361",11.4137466058031
"362",13.5252348712195
"363",12.0833116210173
"364",9.45642439928462
"365",12.0584711350056
"366",16.4426455805966
"367",11.6285027087734
"368",14.5547866250355
"369",14.0531419421522
"370",10.2120087436948
"371",13.2839840788107
"372",13.0635348429050
"373",13.0905791238489
"374",10.0117859332998
"375",11.3669226766481
"376",10.1592123896189
"377",11.1950193851629
"378",11.4197484466572
"379",13.1200412364089
"380",11.8872756842280
"381",13.8733326684346
"382",15.0396390800893
"383",12.6247864259830
"384",12.5850576291574
"385",12.828383641781
"386",12.1351946758518
"387",12.739793706106
"388",11.3765349275510
"389",10.4156524615124
"390",12.9950411282620
"391",11.1613150866443
"392",11.9855525423654
"393",11.9830270104644
"394",11.7354066133902
"395",9.37714221164616
"396",10.9297254271891
"397",12.5036074043133
"398",14.3228665403792
"399",12.0185542011205
"400",12.9369002867223
"401",12.6821062015808
"402",13.0307026123479
"403",12.7215953905177
"404",11.8665715838958
"405",10.6458647506971
"406",13.9874616184021
"407",10.1828686041912
"408",12.4529513910213
"409",11.0398018721962
"410",12.5684390416802
"411",11.6866946155392
"412",13.5504400152177
"413",13.0895809613331
"414",12.5083458518317
"415",12.2349934206619
"416",13.3323880340970
"417",15.2928090307737
"418",11.2120095753417
"419",12.4491493696747
"420",11.3129317208457
"421",12.6504938795279
"422",12.1668496042443
"423",12.9082522463329
"424",9.8377311091793
"425",11.6638572150859
"426",10.8029312172514
"427",13.5998337352513
"428",11.3966914809565
"429",12.6764558724789
"430",12.7115727412629
"431",12.5485804799437
"432",12.2161458690409
"433",15.9114096866713
"434",12.2823160850978
"435",9.34169993427972
"436",14.6032850194098
"437",12.2078462135115
"438",10.3084728267394
"439",12.2505590572919
"440",11.0932708732427
"441",12.3398295791384
"442",12.8761371285460
"443",9.61056033072504
"444",12.2635476069757
"445",11.0361784674257
"446",11.2083529125289
"447",14.3770247843856
"448",10.8955427510514
"449",12.3240784652661
"450",11.4823690851950
"451",10.5725572362148
"452",12.4209447258848
"453",14.1226270612721
"454",10.0170901282849
"455",12.0110116412518
"456",13.1094043557123
"457",11.5676839340560
"458",11.5480585160919
"459",9.40471946768614
"460",16.0930052043623
"461",14.0975731197028
"462",12.7419909192553
"463",11.4386784628002
"464",13.6062507102112
"465",12.4931677155531
"466",11.7084601717015
"467",11.0122817682441
"468",10.9268664390897
"469",11.9573576344781
"470",13.0611536294821
"471",12.587597604878
"472",11.9822796394402
"473",11.5257588459212
"474",10.2593906050730
"475",11.7200471914966
"476",12.1328526333934
"477",10.0784619511150
"478",10.9698313952501
"479",17.1358896800027
"480",15.0461884039906
"481",12.4555729672836
